pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
52.5,-14.0,0.0,top,SW20,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
71.5,-8.0,0.0,top,SW21,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
90.5,-12.0,0.0,top,SW22,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
109.5,-18.0,0.0,top,SW23,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
33.5,-32.0,0.0,top,SW24,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
52.5,-30.0,0.0,top,SW25,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
71.5,-24.0,0.0,top,SW26,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
90.5,-28.0,0.0,top,SW27,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
109.5,-34.0,0.0,top,SW28,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
33.5,-48.0,0.0,top,SW29,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-71.5,-8.0,0.0,top,SW3,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
52.5,-46.0,0.0,top,SW30,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
71.5,-40.0,0.0,top,SW31,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
90.5,-44.0,0.0,top,SW32,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
109.5,-50.0,0.0,top,SW33,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
16.7,-77.0,20.0,top,SW34,,,Switch_KSChoc-miny-hotswap-chocv2-3d,Switch,tht
36.3,-71.8,10.0,top,SW35,,,Switch_KSChoc-miny-hotswap-chocv2-3d,Switch,tht
56.5,-70.0,0.0,top,SW36,,,Switch_KSChoc-miny-hotswap-chocv2-3d,Switch,tht
0.0,-12.0,0.0,top,SW37,,,Button_SW_SPST_SKQG_WithoutStem,SW_Push,smt
0.0,-57.5,0.0,bottom,SW38,,,RotaryEncoder_EC11,RotaryEncoder_Switch,tht
-128.5,-34.0,0.0,top,SW39,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-52.5,-14.0,0.0,top,SW4,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
128.5,-34.0,0.0,top,SW40,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-33.5,-16.0,0.0,top,SW5,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-109.5,-34.0,0.0,top,SW6,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-90.5,-28.0,0.0,top,SW7,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-71.5,-24.0,0.0,top,SW8,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
-52.5,-30.0,0.0,top,SW9,,,Switch_MXKSChoc-miny-hotswap-chocv2-3d,Switch,tht
